,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0,31,74,447,446,113,2936,186,486,263,37
0,803,823,744,1244,2940,802,1281,839,480,674
0,2199,1097,1628,1665,2949,1133,1627,678,2161,640
0,93,79,60,61,46,91,101,87,118,123
0,1133,640,754,791,1627,678,715,1626,675,1665
0,1133,2047,1628,2127,717,2161,791,2691,678,640
0,2007,1705,1363,1628,1592,1627,678,640,1133,754
0,110,302,187,75,113,74,186,189,37,263
0,2014,2128,950,988,1976,2204,2242,2243,2280,2281
0,27,73,21,3018,35,36,90,74,105,37
0,37,2605,744,674,672,2528,681,654,803,640
0,1129,781,744,1161,1198,1121,1118,1162,1199,1237
0,480,3003,1237,1160,1034,1199,1162,1167,163,744
0,2641,520,2637,2635,2760,2484,2644,483,521,522
0,529,2956,186,492,530,189,227,183,110,147
0,2831,2791,2844,2836,2740,2889,2840,2834,2793,2837
0,1023,1401,1060,1367,2955,1024,1324,1025,1363,1364
0,1180,1191,1118,1221,1129,1192,988,1034,1217,950
0,655,621,653,553,483,616,798,520,521,522
0,988,2624,762,1217,2585,649,646,652,798,2623
0,1419,1072,1129,1167,163,1160,1162,1199,744,1034
0,1628,1439,1627,754,1592,1591,1134,1666,640,1133
0,1975,1554,1025,1367,1708,1363,1666,2955,1324,1364
0,1592,678,640,1666,1134,1626,754,1627,1665,1133
0,15,113,2932,37,227,108,151,72,36,74
0,84,60,127,123,87,133,157,35,90,37
0,403,442,482,327,365,480,366,520,521,522
0,1060,1023,1025,1363,1666,1367,1133,2955,1324,1364
0,2600,798,2562,2601,2637,2639,2640,521,2641,522
0,1229,1192,1072,163,744,1160,1162,1199,1129,1034
0,480,1129,1127,1072,1199,1682,1164,163,1162,1034
0,2714,2641,2674,2718,522,2636,2585,2758,2635,2637
0,1053,2976,748,1162,1164,1199,1129,1118,826,1091
0,747,1127,1167,1129,480,1199,744,1162,163,1034
0,227,2956,186,531,567,110,530,183,147,529
0,539,538,572,472,498,78,535,459,157,571
0,493,226,183,227,529,147,530,492,567,531
0,1592,1135,1666,1367,1060,1025,2955,1363,1324,1364
0,1024,1063,2955,1669,1670,1443,1367,3000,1025,1364
0,2508,2551,2546,2547,1217,2587,2549,2511,2623,2585
0,1060,1363,1025,1708,1367,1666,3000,2955,1364,1324
0,1130,823,824,366,747,522,827,2976,826,480
0,2943,1592,1591,2955,1363,640,1666,1364,1324,1133
0,659,520,799,689,2562,691,823,798,521,522
0,1775,1167,1199,1129,1221,988,1180,1034,950,1217
0,3003,1665,788,1169,2043,826,1130,789,2976,827
0,1167,1162,826,1281,1161,1090,1199,1118,1129,1091
0,1053,1161,2976,1164,1162,1199,1118,1129,826,1091
0,781,1167,1198,1121,1161,1129,1237,1162,1118,1199
0,839,823,1127,163,1199,803,744,480,1162,1034
0,682,378,222,340,2809,1628,1666,183,2728,640
0,151,2932,73,227,108,15,37,72,36,74
0,747,1127,2940,1199,839,823,1034,480,1162,803
0,422,540,484,211,483,616,553,520,521,522
0,1707,1668,1401,1060,1025,1554,2955,1324,1363,1364
0,3018,36,73,31,113,75,2936,74,35,37
0,1165,2976,1127,480,747,1199,163,1164,1034,1162
0,1554,1591,1367,1975,1666,2955,1363,1708,1324,1364
0,1165,522,826,824,1199,2976,747,480,1162,1164
0,519,435,327,363,540,616,553,521,520,522
0,1367,1591,1554,1975,1666,2955,1363,1708,1324,1364
0,799,823,2623,1180,689,1217,691,521,798,522
0,519,211,366,442,480,482,553,520,521,522
0,1127,1221,480,747,2976,1199,1217,1162,1164,1034
0,422,540,459,472,553,520,157,616,521,522
0,2795,2840,2847,2834,2798,2756,2836,2791,2831,2837
0,1160,3019,1951,1039,163,1419,1610,1072,1034,744
0,2602,2644,2642,2681,522,2640,2600,2639,2641,2637
0,2317,1670,1024,1668,1707,1025,1669,3000,1443,2949
0,2649,3001,2045,1969,2766,717,2161,678,640,2691
0,225,187,486,302,113,74,189,186,37,263
0,1324,1097,2949,1628,1133,1665,678,2161,1627,640
0,212,123,101,249,209,230,248,172,133,157
0,1119,894,781,285,3028,1118,284,1694,629,744
0,1784,2995,1670,2161,2317,719,2199,1669,1443,2949
0,2562,2640,2938,2599,2600,2601,2641,2639,522,2637
0,2164,1324,2085,2123,2163,640,2199,2124,2949,2161
0,1039,1227,950,1129,995,1002,1229,1192,998,1034
0,1133,715,1627,678,827,1626,791,640,675,1665
0,2635,521,2639,2681,2600,2640,2644,522,2641,2637
0,163,2033,1072,1199,1682,1198,1162,1160,1034,744
0,1958,1682,1205,480,1167,1162,1198,3003,1237,744
0,2637,2601,2599,2639,2600,2562,798,2641,521,522
0,267,231,152,139,230,571,306,100,101,157
0,797,1668,3000,2317,1669,2161,719,1443,2199,2949
0,1072,1199,163,1682,1237,1198,1160,1162,1034,744
0,46,60,61,35,79,90,118,37,87,123
0,1218,803,522,988,801,691,1180,950,1217,2623
0,811,674,2600,481,2642,482,2641,744,620,480
0,1670,1632,2955,1063,1367,1669,1363,1025,1024,1364
0,37,61,46,60,93,90,91,118,123,87
0,184,108,74,183,186,227,2956,189,110,147
0,1182,522,1216,988,801,1218,2623,950,1180,1217
0,3000,1671,1670,756,1177,2317,719,1669,2949,1443
0,1364,1367,1024,1063,2949,1670,3000,1025,1443,1669
0,1162,1127,2976,2940,824,521,747,522,480,823
0,1063,756,2317,948,1215,1670,1177,2949,1669,1443
0,2600,2938,2598,2585,2635,2640,2639,2641,522,2637
0,1610,1129,1033,1263,1229,1225,1192,1186,1160,1034
0,1063,948,1671,2317,1215,1670,1177,2949,1669,1443
0,823,1281,789,1167,826,3003,674,1129,675,827
0,1668,1401,2955,1707,1669,1632,1025,1024,1363,1364
0,2317,1367,1670,1024,3000,1063,1025,2949,1669,1443
0,1024,1670,948,1025,1367,2949,3000,1669,1063,1443
0,184,75,187,110,113,74,186,37,263,189
0,988,1199,1167,1775,1192,1221,1129,950,1034,1217
0,61,157,79,91,60,90,93,118,123,87
0,1554,1024,1669,3000,1063,1367,1025,1443,1670,1364
0,521,1217,762,649,522,2624,646,652,2623,798
0,1669,1060,2955,1367,1025,1364,1443,1324,2949,3000
0,1419,1072,163,1167,1162,1129,1160,1199,744,1034
0,2128,2166,2930,950,1976,2204,2242,2243,2280,2281
0,1668,2955,1554,1063,1024,3000,1670,1367,1025,1364
0,101,115,212,248,118,123,230,133,172,157
0,1162,1237,3003,789,827,826,1167,1199,1118,1129
0,2606,2644,2641,163,2723,2639,2567,2601,2605,2528
0,1160,781,1205,3003,1167,1162,1199,1198,1237,744
0,2601,2635,2938,2562,2623,2639,2641,522,2637,2585
0,1198,1205,1161,1237,480,3003,1167,1199,1162,744
0,2130,2166,1217,950,2281,2128,2204,2242,2243,2280
0,1199,3028,1162,1694,1121,1119,781,1237,1198,744
0,2317,1671,1024,2949,1177,1063,1025,1670,1669,1443
0,1161,826,1198,744,1167,1162,1237,1118,1129,1199
0,2166,2930,950,988,1976,2204,2242,2243,2280,2281
0,826,1162,1199,2940,824,747,521,522,823,480
0,79,61,37,90,93,60,118,157,123,87
0,2955,1671,1670,1632,1367,1024,1063,1669,1025,1364
0,1401,3000,1060,2955,1554,1668,1367,1363,1324,1364
0,522,826,823,1164,824,2976,1199,747,1162,480
0,1682,1198,1167,163,1237,1160,1199,1034,1162,744
0,1072,1610,2033,1199,1162,1167,1160,163,1034,744
0,15,113,151,106,2932,37,72,108,36,74
0,1205,480,1118,744,1167,1161,1129,1237,1162,1199
0,1707,1668,1666,1060,1025,1367,2955,3000,1324,1364
0,529,72,189,74,226,183,147,110,227,151
0,1023,1554,1669,1063,1670,1024,2955,1367,1025,1364
0,1632,3000,1367,1671,2955,1443,1025,1669,1670,1364
0,2508,2242,2280,2587,2511,2546,2585,2549,2204,2623
0,1024,1554,1060,1670,3000,2955,1367,1324,1025,1364
0,3003,1160,480,1237,1199,1167,1034,1162,163,744
0,3000,2161,1666,1061,1439,2949,1134,1324,640,1133
0,744,1121,1205,1167,1161,1162,1129,1237,1118,1199
0,744,2606,2562,480,2528,2601,2639,2641,2600,803
0,803,781,708,823,744,672,2940,839,674,480
0,3000,1363,1555,1670,1554,1367,1324,1025,2955,1364
0,1364,2943,1024,1668,1401,1324,1592,640,1367,1363
0,1163,824,1161,747,2976,826,480,1199,1164,1162
0,2601,2640,2723,2760,2484,2641,2644,483,521,522
0,788,1167,789,827,1162,826,1091,1118,1199,1129
0,1975,1025,1554,1367,1666,1363,1708,2955,1324,1364
0,72,113,147,106,37,151,2932,108,36,74
0,1024,1671,2955,1063,1443,1367,1670,1669,1025,1364
0,2165,2123,2164,1324,2163,2199,1443,2124,2161,2949
0,1577,1419,1167,480,1072,163,803,1034,694,744
0,1205,826,1237,1161,1162,1167,1091,1199,1118,1129
0,1363,3000,1708,1666,1554,1025,1367,1324,2955,1364
0,1177,948,1364,1670,1024,1367,1063,1025,1443,1669
0,1363,1666,1060,1554,3000,1367,1025,2955,1324,1364
0,1670,1671,1443,2955,1024,1669,1063,1367,1025,1364
0,748,747,1127,827,1129,480,826,2976,823,1091
0,1632,1215,1670,1025,1367,1063,1024,1443,1669,1364
0,1090,1205,1161,1162,1167,1237,1091,1199,1118,1129
0,1708,1670,1060,1554,3000,1025,1367,2955,1324,1364
0,2955,1670,1632,1443,1367,1025,1063,1024,1669,1364
0,1063,3000,1060,1024,2955,1363,1367,1025,1324,1364
0,172,211,442,209,157,620,553,520,521,522
0,1439,1591,2161,1628,1061,1592,1134,1666,640,1133
0,1217,2130,950,2128,2281,2204,2242,2623,2243,2280
0,460,473,345,472,495,230,459,306,157,571
0,1555,1023,1670,1363,1554,1324,1367,1025,2955,1364
0,2634,2676,2758,2714,2674,2635,2981,2636,2718,2637
0,226,110,227,183,529,492,530,147,567,531
0,1129,480,1205,1198,3003,1199,1162,1167,1237,744
0,640,2164,2123,2199,1443,2163,1324,2124,2161,2949
0,209,480,363,482,442,211,553,520,521,522
0,2624,2601,2560,2641,2637,2562,2585,1217,2623,522
0,676,366,828,791,790,3003,789,1665,827,675
0,2523,1218,2446,1408,2601,2562,2597,1180,2484,1217
0,1591,1286,3000,1439,1666,1367,2955,1133,1364,1324
0,37,186,110,113,2932,151,36,108,147,74
0,75,189,36,151,227,186,108,110,147,74
0,1976,2014,2128,2166,2204,2242,2243,2280,2281,2930
0,1121,744,1198,1161,1167,1162,1237,1129,1118,1199
0,3000,1671,1063,1024,1669,2955,1670,1367,1025,1364
0,1177,1555,1024,1025,1215,1101,1063,1364,1367,948
0,1086,1198,1129,744,1164,1237,480,1161,1199,1162
0,3003,480,1160,1682,1167,1198,1199,1162,1237,744
0,1199,1205,1198,1162,163,3003,480,1167,1237,744
0,2166,1217,988,950,2281,2204,2128,2242,2243,2280
0,1091,1121,1167,1198,1161,1162,1237,1129,1118,1199
0,1023,1024,1063,1133,1324,2955,1025,3000,1367,1364
0,528,1592,147,529,493,567,492,530,3015,531
0,1060,1666,3000,1555,1363,1324,1025,1367,2955,1364
0,748,1053,827,788,1090,1199,1118,826,1129,1091
0,1163,1129,950,1034,744,1217,1162,3003,1167,1199
0,163,1610,1419,1162,1129,1199,1072,1160,744,1034
0,1164,1198,1091,1121,1161,1237,1129,1162,1118,1199
0,483,557,553,481,620,522,521,482,520,480
