cell_num,pos,xcoord,ycoord,zcoord,cluster
1,134,-167.93,42.05,5.22,3
2,782,-74.19,66.52,-11.91,2
3,1705,27.56,35.78,-67.46,0
4,53,-187.25,31.71,14.18,3
5,1441,-1.52,24.19,-74.29,0
6,2598,128,51.02,24.61,0
7,259,-143.06,34.17,-36.14,0
8,114,-185.3,0.94,-26.14,3
9,1255,-15.61,2.65,66.15,4
10,34,-191.34,11.26,-19.46,3
11,796,-74.88,14.59,-69.96,0
12,1201,-24.42,69.73,-20.55,2
13,1153,-27.6,58.74,34.31,1
14,2798,155.66,38.62,-15.01,2
15,187,-152.63,15.05,-43.1,3
16,2890,179.71,4.42,25.49,3
17,1288,-19.35,30.24,-71.02,0
18,1184,-25.46,27.97,60.21,4
19,1112,-34.83,46.97,47.28,1
20,79,-176.71,8.6,40.34,4
21,1071,-36.53,32.92,57.23,1
22,1364,-11.4,30.15,-71.23,0
23,1442,-3.77,17.07,-76.35,0
24,2650,132.25,41.76,-30.98,0
25,34,-191.34,11.26,-19.46,3
26,60,-189.61,29.8,-1.46,3
27,237,-147.09,31.86,41.05,3
28,1059,-42.27,33.45,-67.36,0
29,2719,151.43,45.52,-2.47,1
30,1191,-23.88,59.51,33.57,1
31,958,-51.45,38.33,53.51,1
32,2875,168.86,31.04,-9.99,1
33,976,-51.22,62.44,-35.34,2
34,2219,83.92,61.48,24.14,1
35,417,-118.6,8.22,-58.73,5
36,421,-119.44,11.39,56.51,3
37,493,-107.86,7.96,-62.11,5
38,1177,-28.41,9.91,-76.88,0
39,1402,-7.07,29.9,-71.64,0
40,2551,127.54,19.97,55.35,4
41,2691,142.75,31.79,-35.06,0
42,1115,-31.22,58.31,34.56,2
43,1593,16.02,26.12,-73.08,0
44,840,-63.71,19.57,61.18,1
45,1107,-31.32,24.53,61.18,4
46,3008,-3.38,48.06,-58.58,2
47,1017,-45.63,53.37,-49.42,2
48,2941,-76.63,63.36,-24.29,2
49,1735,30.58,66.89,-29.82,1
50,1121,-32.11,70.09,2.63,1
51,2807,164.65,16.21,-28.13,3
52,37,-190.68,0.98,-22,3
53,774,-73.21,57.79,29.69,1
54,437,-112.44,58.61,8.46,3
55,646,-92.26,5.2,-66.83,0
56,54,-194.23,27.54,7.25,3
57,1394,-5.76,64.91,-36.03,1
58,1251,-21.37,24.82,-73.3,0
59,1916,49.16,65.92,20.49,1
60,438,-116.17,58.23,3.98,3
61,2654,138.26,28.43,-40.91,0
62,690,-82.42,26.46,57.08,1
63,173,-158.24,45.88,0.71,3
64,1885,47.24,69.24,-18.2,1
65,436,-117.71,56.79,11.61,3
66,74,-193.25,4.68,-19.69,3
67,1954,53.57,65.49,20.79,1
68,2589,131.58,21.43,53.77,1
