FLY_GENE1	FLY_GENE2	REFERENCE	DATE_LAST_UPDATED	DATA_VERSION	REFERENCEURL	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0011706	FBgn0015946	"FBrf0105960, FBrf0190751"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0105960.html, http://flybase.net/reports/FBrf0190751.html"	rpr	grim	gg	
FBgn0000147	FBgn0010316	FBrf0194325	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0194325.html	aurA	dap	gg	
FBgn0003117	FBgn0030505	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	pnr	NFAT	gg	
FBgn0011655	FBgn0024234	FBrf0194511	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0194511.html	Med	gbb	gg	
FBgn0001087	FBgn0003996	"FBrf0147069, FBrf0012683, FBrf0020044"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0147069.html, http://flybase.net/reports/FBrf0012683.html, http://flybase.net/reports/FBrf0020044.html"	g	w	gg	
FBgn0000163	FBgn0011706	FBrf0190751	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190751.html	baz	rpr	gg	
FBgn0000560	FBgn0001297	FBrf0149096	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0149096.html	eg	kay	gg	
FBgn0003462	FBgn0260499	FBrf0089694	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0089694.html	Sod	qvr	gg	
FBgn0003042	FBgn0260642	"FBrf0066905, FBrf0048952, FBrf0132331, FBrf0016599"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0066905.html, http://flybase.net/reports/FBrf0048952.html, http://flybase.net/reports/FBrf0132331.html, http://flybase.net/reports/FBrf0016599.html"	Pc	Antp	gg	
FBgn0000015	FBgn0004050	FBrf0111986	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0111986.html	Abd-B	z	gg	
FBgn0002945	FBgn0004957	FBrf0125452	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0125452.html	nkd	por	gg	
FBgn0005592	FBgn0010382	FBrf0151282	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0151282.html	btl	CycE	gg	
FBgn0010415	FBgn0264089	FBrf0174474	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0174474.html	Sdc	sli	gg	
FBgn0002552	FBgn0024244	FBrf0167839	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167839.html	lin	drm	gg	
FBgn0004889	FBgn0011829	FBrf0190765	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190765.html	tws	Ret	gg	
FBgn0002576	FBgn0013753	"FBrf0110190, FBrf0138356"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0110190.html, http://flybase.net/reports/FBrf0138356.html"	lz	Bgb	gg	
