Ven,Dor,Ant,Pos,Lat
btd,betaTub60D,btd,jing,ara
Idgf1,kay,betaTub60D,tkv,tkv
betaTub60D,fray,Os-C,psq,lov
wor,al,tipE,Rpt6,Pepck
fray,Src42A,z,Pvf3,ine
Pen,ara,al,mex1,nAChRbeta1
primo-2,Roc1b,shi,Msr-110,kek2
knrl,tkv,Src42A,eyg,sog
al,psq,anon-96Fe,dib,mbc
shi,zen2,chp,a,RtGEF
Src42A,eyg,jing,dpp,unpg
ara,dpp,tkv,hth,ND-ACP
Eip63F-1,fz3,psq,Kaz-m1,gcm2
Ilp7,hth,anon-64Bd,psd,Sema1a
jing,salr,Rab3,Myc,Tom
tkv,Nckx30C,Or59a,iab-4,pnt
psq,rn,Rpt6,Slh,loco
5-HT1B,egr,scrib,Galphaf,Dr
Pvf3,Rnp4F,mex1,Ance,tim
5-HT1A,shg,zen2,F-element\RTase,LanA
hll,en,Msr-110,hh,Parp
eyg,disp,anon-96Fd,Egfr,y
dpp,ban,eyg,Tm1,ems
Eaat2,Ras85D,dib,Dark,rho
fz3,Ance,a,Eip63E,Sp1
mas,hh,Or23a,Ag5r2,LanB2
hth,Egfr,dpp,byn,dco
Nckx30C,eg,Ilp4,RtGEF,brk
gsb-n,awd,Eaat2,Obp28a,gcm
Mkk4,Tm1,fz3,F-element\gag-r,vn
Neu2,Dark,hth,Nsf2,slp2
rn,sog,Nckx30C,E(spl)m2-BFM,Con
Obp19d,mbc,rn,E(spl)m5-HLH,sli
Rnp4F,Hmgcr,Rx,Clp,Lip3
shg,Pak,Kaz-m1,lic,nub
roX1,btn,Obp19d,ImpL3,NetA
en,Nsf2,Mvl,zen,LanB1
iab-4,RasGAP1,LysD,inv,salm
neb,E(spl)m2-BFM,roX1,tsg,vri
Idgf3,raw,Myc,bonsai,sens
ths,Acer,Obp83a,Oda,htl
GluRIA,b,qtc,pk,drl
pip,zen,Cpr,Debcl,Itp-r83A
vlc,by,Ras85D,pnr,per
sif,ND-ACP,Galphaf,anon-84Bd,pdm2
Egfr,POSH,Ance,mtSSB,18w
eg,Ect3,pip,Ac78C,vg
Tm1,inv,hh,E2f1,pit
Ets65A,tsg,Egfr,ImpL2,slp1
Dark,pk,Tm1,tsl,pros
tap,Debcl,didum,bnl,caup
Pp2A-29B,pnr,Dark,Tom,
ine,tok,anon-96Ff,E(spl)malpha-BFM,
Pka-C3,krz,Eip63E,pnt,
drm,E(spl)m6-BFM,Or2a,trn,
nAChRbeta1,fred,roX2,dve,
kek2,bnl,a10,CycE,
sog,Tom,anon-96Fc,fog,
Hmgcr,E(spl)malpha-BFM,Obp84a,retn,
RtGEF,trn,Or33a,sl,
Nsf2,CycE,RtGEF,trr,
Sulf1,Mef2,Obp28a,tll,
sob,fog,Nsf2,Dp,
RasGAP1,Ras64B,RasGAP1,Mkp3,
E(spl)m2-BFM,ase,Ilp3,ase,
unpg,Scr,anon-96Fb,Scr,
raw,wun,Or43a,Syb,
Ets21C,H,lic,wun,
e,lbe,zen,H,
POSH,bsk,Or43b,E(spl)m7-HLH,
HLH3B,sv,a5,bsk,
Fer3,ph-p,anon-96Fa,yin,
vtd,loco,Or22b,sv,
RhoL,fng,Diap1,Fur1,
Idgf2,Dr,anon-64Bf,toc,
Snap25,nkd,Obp69a,Pvf1,
pk,tim,Or33b,Hnf4,
Debcl,ush,kek1,l(1)sc,
krz,Rap1,vtd,Dl,
E(spl)m6-BFM,lace,RhoL,Max,
N,tin,bonsai,bcd,
E2f1,neur,Debcl,tud,
noc,gbb,pnr,Rca1,
Tom,apt,anon-84Bd,CycB,
E(spl)malpha-BFM,ss,tok,eIF4E1,
pnt,oc,mtSSB,gbb,
trn,osk,krz,ems,
dve,sty,Obp83b,hkb,
Pvr,Lim3,Ac78C,osk,
Mef2,Nup154,E2f1,ttk,
fog,Ret,ey,ct,
ana,mam,kni,AP-2mu,
TkR99D,mirr,bnl,Asx,
trr,ac,Tom,Ret,
Dp,brk,trn,Try29F,
aos,sca,lwr,mam,
ase,ovo,dve,mirr,
oaf,ptc,CycE,ac,
Scr,vn,Ras64B,brk,
Flo1,caps,Med,Ten-m,
thr,LamC,retn,p38b,
lbe,Dad,sl,hb,
Hsromega,slp2,drk,ptc,
Ggamma1,Mmp2,trr,dap,
SoxN,tup,Dp,svp,
D,scb,aos,nos,
sv,Con,ase,Mmp2,
ph-p,shn,Scr,E(spl)m8-HLH,
comm,zfh1,Syb,scb,
dock,kn,ci,shn,
cnn,Btk29A,ast,Syx1A,
Dr,hts,H,kn,
nkd,if,Or22a,Btk29A,
l(1)sc,puc,danr,hts,
Dl,Ect4,luna,Act5C,
tim,emp,bsk,stumps,
LanA,Optix,sv,fus,
Syt1,O-fut1,ph-p,srp,
CadN,pyd,gl,klar,
neur,klar,Fur1,Wnt2,
gbb,Notum,Hnf4,Pvf2,
sim,NetB,Appl,gcl,
fru,dally,Dl,Eip71CD,
apt,grn,Max,kraken,
hkb,disco,bcd,Crk,
ss,elav,ndl,dpa,
spi,nub,Rap1,fzr,
oc,C15,Rca1,klg,
cas,toe,lace,mu2,
sty,how,eIF4E1,grn,
rho,bap,neur,disco,
fz,Roc1a,gbb,elav,
Lim3,NetA,stg,CaBP1,
Adat1,fj,ems,Cam,
Sp1,grk,hkb,tsh,
Asx,Dredd,ss,emb,
Meltrin,Sur,oc,orb,
mnb,lbl,osk,grk,
Ret,salm,BicD,Sur,
LanB2,scrt,ttk,salm,
Liprin-alpha,ken,rho,Adh,
fd59A,vri,fz,mav,
mam,Z600,ct,ken,
mirr,esg,AP-2mu,vri,
rhea,crb,Cyp6w1,Z600,
ac,ph-d,Ilp5,vnd,
brk,Su(H),Sp1,insc,
acj6,sna,Asx,crb,
Ten-m,tld,dsf,14-3-3zeta,
sca,ab,Ugt35a,cno,
AP-2alpha,tws,Ret,sna,
dap,emc,CycD,Ptx1,
vn,sd,mam,Dat,
grim,lab,mirr,Gcn2,
caps,klu,brk,yem,
slp2,pdm2,eya,emc,
wit,18w,phyl,CASK,
bi,amd,sca,Dfd,
E(spl)m8-HLH,E(spl)m4-BFM,p38b,lab,
tup,Nrt,S,p120ctn,
scb,Doa,amos,klu,
Myb,Antp,HDAC1,18w,
Con,vg,hb,E(spl)m4-BFM,
usp,nop5,ovo,Moca-cyp,
mor,sktl,ptc,gsb,
TfAP-2,mew,dap,nop5,
Act5C,Doc1,vn,mira,
brat,bowl,nos,cad,
Klp61F,x16,bi,mew,
polo,trx,scb,pit,
stumps,slp1,shn,bowl,
mts,sc,Syx1A,croc,
sli,Ser,kn,trx,
odd,fz2,Btk29A,sc,
O-fut1,caup,hts,Ser,
Dscam1,,Ugt35b,fz2,
Six4,,TfAP-2,,
Notum,,Act5C,,
Pvf2,,brat,,
Dgk,,stumps,,
Eaat1,,tgo,,
NetB,,antdh,,
kraken,,Optix,,
Crk,,O-fut1,,
Sema2a,,srp,,
aurB,,shakB,,
dally,,Wnt2,,
mid,,cry,,
grn,,Eip71CD,,
disco,,kraken,,
elav,,Crk,,
CaBP1,,dpa,,
nub,,Sema2a,,
Hem,,dally,,
bab1,,Ilp2,,
5-HT7,,fzr,,
emb,,mu2,,
how,,grn,,
NetA,,disco,,
fj,,CaBP1,,
LanB1,,Cam,,
Dredd,,tsh,,
lbl,,bab1,,
amon,,toe,,
ben,,orb,,
scrt,,Rop,,
kuz,,fj,,
Gp150,,grk,,
vri,,salm,,
vnd,,amon,,
insc,,BicC,,
esg,,toy,,
htl,,scrt,,
14-3-3zeta,,kuz,,
ph-d,,pain,,
Cbp53E,,Adh,,
Su(H),,mav,,
Wnt5,,ken,,
east,,vnd,,
yemG9.5,,insc,,
dpn,,14-3-3zeta,,
sna,,cno,,
Actbeta,,ph-d,,
ab,,Cbp53E,,
wrapper,,Su(H),,
twi,,Wnt5,,
Dat,,east,,
Gcn2,,tld,,
vvl,,ab,,
ind,,Dat,,
tws,,Gcn2,,
emc,,ind,,
dnt,,tws,,
grh,,yem,,
rst,,Itp-r83A,,
klu,,emc,,
18w,,CASK,,
ftz,,Dfd,,
amd,,sd,,
E(spl)m4-BFM,,lab,,
Nrt,,p120ctn,,
Moca-cyp,,rst,,
Doa,,klu,,
Antp,,18w,,
copia\GIP,,amd,,
gsb,,dan,,
nop5,,E(spl)m4-BFM,,
Stam,,Moca-cyp,,
Idgf4,,Doa,,
mira,,Antp,,
sktl,,gsb,,
SelD,,nop5,,
Act42A,,sktl,,
bowl,,cad,,
x16,,mew,,
bab2,,pit,,
trx,,Lsd-2,,
slp1,,bowl,,
ato,,croc,,
sc,,x16,,
Ser,,trx,,
pros,,ato,,
caup,,gt,,
,,Ser,,
