Symbol,int2,
fkh,18.00,
Tango9,11,
Noa36,12,
Noa36,3,
CG10014,6,
drm,15,
drm,59,
bowl,1,
bowl,1,
bowl,49,
CG10032,35,
CG10032,15,
CG10032,10,
CG10035,2,
CG43773,4,
MBD-R2,9,
RtGEF,79,
RtGEF,3,
RtGEF,50,
RtGEF,8,
RtGEF,1,
RtGEF,4,
RtGEF,24,
GstD1,7,
GstD1,312,
Syt4,12,
CG10051,6,
CG10051,6,
CG10053,33,
MAGE,82,
Sas-4,69,
Sas-4,2,
Sas-4,27,
Sas-4,5,
Sas-4,29,
MFS16,2,
emc,1,
emc,14,
emc,2,
RpL29,10,
CG10073,41,
CG10075,1,
spir,4,
spir,24,
spir,8,
Prat2,3,
Prat2,30,
Egfr,48,
mahj,58,
swm,8,
CG10086,16,
CG10086,21,
CG10086,6,
CG10086,2,
CG10103,10,
CG10103,1,
CG10103,11,
phyl,3,
phyl,33,
phyl,2,
phyl,10,
phyl,2,
L,24,
L,2,
Cpr51A,3,
ple,24,
CG10126,1,
CG10126,4,
tra2,9,
tra2,18,
CG10137,6,
PpD5,3,
CG10139,3,
CG10139,16,
CG10139,36,
CG10139,10,
CG10139,7,
CG10139,101,
robl62A,3,
robl62A,2,
CG10144,6,
Rpn6,1,
CG10151,8,
Trs31,6,
Trs31,1,
CG10154,114,
CG10154,84,
Spred,28,
CG10157,23,
CG10157,34,
CG10158,8,
BEAF-32,6,
BEAF-32,59,
BEAF-32,8,
BEAF-32,3,
ImpL3,32,
eIF-3p66,2,
CG10164,2,
CG10164,41,
CG10164,18,
CG10164,35,
CG10164,2,
Mfap1,5,
Mfap1,25,
Mfap1,7,
Mfap1,14,
Best2,106,
Ntf-2r,6,
Ntf-2r,104,
CG10176,4,
CG10177,1,
Mdr65,1,
Mdr65,3,
CG10189,5,
Mlp84B,4,
Mlp84B,15,
Mlp84B,4,
Mlp84B,5,
Mlp84B,48,
Mlp84B,17,
Mlp84B,21,
CG10195,8,
Nup98-96,3,
CG10205,16,
CG10205,7,
nop5,36,
nop5,25,
NaPi-T,32,
CG10208,173,
CG10209,28,
CG10209,24,
CG10209,23,
CG10209,2,
CG10209,11,
CG10209,4,
CG10209,15,
CG10209,11,
Dmtn,1,
CG10211,5,
CG10214,9,
Ercc1,6,
Ercc1,17,
Ercc1,14,
CG10219,4,
CG10222,6,
CG10222,4,
RanBP3,4,
RanBP3,1,
Kat60,6,
Kat60,1,
Kat60,2,
Kat60,5,
Rpn9,14,
rtp,3,
rtp,21,
CG10237,1,
Mocs2,45,
Cyp6a22,7,
Cyp6a19,21,
Cyp6a9,32,
prt,8,
CG10252,12,
Lap1,20,
CG10257,5,
aPKC,1,
Hakai,32,
Hakai,22,
Hakai,114,
Hakai,3,
Hakai,17,
CG10265,8,
CG10265,7,
CG10265,11,
Zif,37,
Zif,3,
Zif,11,
D19A,3,
D19A,24,
D19B,4,
GATAe,7,
Rm62,19,
Rm62,6,
Rm62,45,
TfIIFalpha,4,
Gasp,2,
how,1,
how,2,
CG10298,5,
CG10301,27,
CG10301,13,
RpS26,8,
RpS26,11,
CG10306,32,
CG10306,3,
CycJ,8,
CG10311,2,
CG10311,6,
eIF2B-delta,8,
eIF2B-delta,165,
NC2alpha,4,
NC2alpha,1,
NC2alpha,39,
NC2alpha,22,
NC2alpha,9,
CG10321,8,
CG10321,31,
CG10321,3,
CG10321,1,
CG10324,15,
CG10324,6,
CG10324,27,
CG10324,14,
CG10324,30,
CG10324,14,
CG10324,29,
CG10324,11,
CG10324,156,
TBPH,29,
TBPH,6,
TBPH,92,
nonA-l,7,
nonA-l,36,
spi,7,
Pbgs,6,
Pbgs,19,
CG10336,1,
CG10339,6,
CG10340,3,
CG10341,9,
CG10344,21,
Grip71,1,
CG10348,32,
CG10353,6,
ref(2)P,3,
ref(2)P,9,
Tep4,2,
msb1l,220,
msb1l,1,
msb1l,25,
msb1l,8,
msb1l,2,
CG10365,52,
CG10365,16,
CG10365,5,
CG10366,3,
CG10366,5,
Jwa,1,
Jwa,17,
Lsd-1,11,
Hrb27C,3,
Hrb27C,30,
mbc,19,
mbc,15,
tos,3,
Ubx,130,
sxc,1,
sxc,1,
sxc,18,
sxc,2,
sxc,2,
sxc,6,
sxc,12,
amos,15,
CG10395,9,
CG10396,2,
CG10396,7,
CG1041,38,
CG1041,18,
CG1041,1,
CG1041,14,
TfIIEalpha,16,
CG10418,15,
CG10418,10,
CG10418,9,
Gem2,47,
Gem2,11,
CG10424,21,
CG10426,21,
CG10440,32,
CG10440,27,
Nf-YB,31,
Catsup,23,
zen,55,
zen,1,
cer,73,
cer,3,
cer,7,
CG10462,19,
CG10465,1,
CG10465,2,
CG10465,22,
CG10466,34,
CG10466,2,
CG10469,28,
CG10470,2,
CG10472,12,
Jon65Ai,38,
alphaKap4,60,
alphaKap4,16,
alphaKap4,1,
alphaKap4,37,
Rcc1,7,
Rcc1,17,
Rcc1,55,
CG10483,4,
Rpn3,5,
Rpn3,46,
CG10486,1,
eyg,6,
eyg,2,
Pole2,8,
Pole2,18,
CG10494,3,
CG10494,4,
Sdc,7,
Aats-gln,4,
CG10508,11,
CG10508,14,
CG10510,1,
CG10510,5,
CG10513,1,
CG10513,4,
CG10513,22,
CG10514,110,
tub,4,
tub,26,
sti,13,
park,73,
Pkcdelta,26,
Pkcdelta,8,
CG10527,97,
CG10527,66,
CG10527,24,
CG10527,1,
fs(2)ltoPP43,7,
fs(2)ltoPP43,3,
Cht9,43,
Cht9,15,
Elp1,7,
cpa,3,
cpa,6,
cpa,6,
CG10550,5,
CG10550,2,
CG10559,1,
CG10559,34,
CG10559,21,
CG10559,199,
