Symbol,int
Zw10,67
Zw,7
zpg,172
zpg,13
zpg,7
Zn72D,9
Zip99C,7
zip,2
zip,73
zip,23
zip,12
zip,49
zip,5
zip,5
zip,9
zip,26
zip,85
zip,175
zip,29
zip,3
zip,66
zip,199
zip,12
zip,123
zip,40
zip,1
zip,29
zip,4
zip,170
zip,12
zip,34
zip,26
zip,2
zip,8
zip,14
zfh1,20
zfh1,30
zep,17
zen,12
zen,67
zen,148
zen,134
zen,16
zen,17
Zasp52,3
z,109
z,29
z,80
z,4
z,9
z,29
z,2
z,12
z,46
z,80
z,110
z,3
z,45
z,4
z,11
z,8
z,100
z,24
z,85
z,3
z,47
z,4
z,17
z,98
yps,2
yki,63
yeti-MBT,7
yeti-MBT,17
Ybb,1
Ybb,17
y,20
y,6
y,1
y,3
y,13
y,28
y,12
y,48
y,38
y,1
y,7
y,1
y,48
y,1
Xrp1,5
Xpc,32
Xpc,15
XNP,32
XNP,42
XNP,13
XNP,4
XNP,1
XNP,20
XNP,18
XNP,2
X11L,8
wwg,61
wupA,11
wupA,13
wupA,9
wupA,3
wupA,11
wupA,6
wupA,61
wupA,6
wupA,9
wupA,87
wupA,6
wupA,70
wupA,10
wun2,35
wun2,58
wun,6
wun,3
wun,14
wun,25
wuho,9
wts,5
wts,13
wts,74
wts,1
wts,1
wts,30
wts,43
wts,7
wrl,14
Wow,22
Wow,46
wntD,10
wntD,5
Wnt6,15
Wnt5,5
Wnt5,6
Wnt5,15
Wnt5,13
Wnt5,10
Wnt5,17
Wnt4,36
Wnt4,25
Wnt2,26
Wnt2,14
Wnt2,3
wls,16
wit,16
wit,22
wit,6
wit,32
wit,1
wit,38
wit,3
wit,6
wit,34
wgn,37
wg,5
wg,10
wg,30
wg,4
wg,1
wg,8
wg,14
wg,3
wg,5
wg,13
wg,2
wg,17
wg,9
wg,48
wg,2
wg,15
wg,7
wg,2
wg,9
wg,7
wg,14
wg,9
wg,8
wg,21
wg,5
wg,3
wg,2
wg,26
wg,1
wg,15
wg,23
wg,16
wg,8
wg,28
wg,28
wg,6
wg,7
wg,6
wg,3
wg,61
wg,1
wg,1
wg,13
wg,8
wg,36
wg,10
wg,3
wg,30
wg,2
wg,18
wg,8
wg,8
wg,14
wg,22
wg,1
wg,10
wg,27
wg,21
wg,2
wg,8
wg,1
wg,10
wg,2
wg,19
wg,8
wg,1
wg,5
wg,9
wg,4
wg,2
wg,7
wg,19
wg,29
wg,37
wg,24
wg,39
wg,1
wg,15
wg,12
wg,13
wg,1
wg,6
wg,6
wg,2
wg,58
wg,20
wg,5
wek,18
wek,4
wek,7
wek,1
Wee1,14
Wee1,7
Wee1,19
Wee1,6
Wee1,53
Wee1,38
Wee1,36
Wee1,15
Wee1,5
wde,13
wdb,7
wdb,11
wdb,8
wdb,28
wdb,4
WC1,4
wbl,2
wb,15
wb,15
WASp,4
WASp,1
WASp,1
