,Importance,Feature
0,0.156002909,AP-1 adaptor complex
1,0.048843674,ATP binding
4,0.025986994,COP9 signalosome
171,0.019456513,detection of chemical stimulus involved in sensory perception
2,0.018323123,ATPase activity
3,0.013870524,Ada2/Gcn5/Ada3 transcription activator complex
504,0.013843538,"regulation of circadian sleep/wake cycle, sleep"
20,0.012224411,JNK cascade
6,0.010254472,DNA endoreduplication
14,0.009552851,GTPase activator activity
5,0.008527404,DNA binding
210,0.00831152,extracellular space
13,0.007205117,G-protein coupled receptor signaling pathway
40,0.00712416,acetylcholine-gated channel complex
193,0.00682732,entrainment of circadian clock
53,0.006719378,anaphase-promoting complex-dependent catabolic process
151,0.006557466,compound eye photoreceptor fate commitment
11,0.006476509,ELL-EAF complex
474,0.006368567,protein folding
18,0.006341582,Golgi stack
47,0.00623364,adenylate kinase activity
38,0.005828858,Wnt-protein binding
228,0.00563996,germ cell migration
522,0.005532018,"regulation of tube diameter, open tracheal system"
77,0.005397091,bicoid mRNA localization
30,0.005073266,RNA polymerase II distal enhancer sequence-specific DNA binding
524,0.004965323,"regulation of tube size, open tracheal system"
350,0.004884367,multicellular organism reproduction
32,0.004884367,RNA polymerase II transcription coactivator activity
276,0.00474944,int
535,0.004668484,response to sucrose
303,0.004560542,lyase activity
31,0.004533556,RNA polymerase II regulatory region sequence-specific DNA binding
19,0.004317673,JAK-STAT cascade
364,0.004290687,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
93,0.004209731,cell adhesion mediated by integrin
176,0.004128775,dorsal/ventral axis specification
198,0.004128775,"epithelial cell migration, open tracheal system"
63,0.004101789,asymmetric cell division
311,0.003993847,male germ-line cyst encapsulation
24,0.003966862,Notch receptor processing
41,0.003939876,actin binding
273,0.003885905,innate immune response
10,0.003831935,DNA-directed DNA polymerase activity
43,0.003670022,actin filament bundle assembly
490,0.003670022,proteolysis
197,0.003616051,epidermal growth factor receptor signaling pathway
454,0.003508109,positive regulation of imaginal disc growth
56,0.003508109,anterior/posterior pattern specification
61,0.003508109,apoptotic process
418,0.003454138,oxidoreductase activity
194,0.003400167,entrainment of circadian clock by photoperiod
23,0.003373182,Myb complex
239,0.003292226,glycosphingolipid biosynthetic process
378,0.003238255,neuroblast fate determination
12,0.003184284,ESC/E(Z) complex
16,0.003157298,Golgi cis cisterna
33,0.003157298,RNA polymerase II transcription cofactor activity
366,0.003157298,negative regulation of gene expression
9,0.003130313,DNA replication
84,0.003103327,brain morphogenesis
249,0.003076342,hindgut morphogenesis
313,0.003076342,male mating behavior
213,0.003049356,eye pigment granule organization
7,0.002995386,DNA metabolic process
547,0.002914429,sensory dendrite
142,0.002860458,cilium
236,0.002860458,glutathione metabolic process
395,0.002860458,nuclear periphery
345,0.002833473,"molting cycle, chitin-based cuticle"
596,0.002833473,trachea morphogenesis
191,0.002779502,endoribonuclease activity
435,0.002752516,polytene chromosome interband
130,0.002698546,chorion-containing eggshell pattern formation
407,0.00267156,nurse cell apoptotic process
293,0.00267156,ligase activity
17,0.00267156,Golgi organization
245,0.002617589,heart development
66,0.002617589,asymmetric protein localization involved in cell fate determination
324,0.002590604,mesoderm development
36,0.002590604,SAGA complex
447,0.002563618,positive regulation of cell size
83,0.002563618,brain development
542,0.002509647,salivary gland morphogenesis
165,0.002509647,defense response to bacterium
527,0.002482662,response to endoplasmic reticulum stress
599,0.002455676,"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding"
8,0.002428691,DNA repair
297,0.002401705,lipid particle organization
465,0.002401705,presynaptic membrane
509,0.002347735,regulation of hemocyte differentiation
349,0.002347735,multicellular organism development
622,0.002320749,ventral midline development
550,0.002320749,sensory organ precursor cell fate determination
484,0.002320749,protein stabilization
48,0.002293764,adherens junction
22,0.002266778,Malpighian tubule morphogenesis
270,0.002266778,immune response
111,0.002266778,cellular response to hypoxia
584,0.002239793,synaptic target recognition
316,0.002212807,mediator complex
365,0.002212807,negative regulation of epidermal growth factor receptor signaling pathway
290,0.002185822,late endosome
286,0.002158836,larval locomotory behavior
15,0.002158836,Golgi apparatus
537,0.002131851,rhabdomere
384,0.002131851,neuromuscular synaptic transmission
244,0.002104865,head involution
116,0.002104865,central nervous system development
559,0.002104865,sex determination
257,0.00207788,histone methyltransferase activity
181,0.002050895,early endosome
260,0.001996924,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
60,0.001996924,apical plasma membrane
449,0.001969938,positive regulation of defense response to virus by host
73,0.001969938,axon midline choice point recognition
312,0.001942953,male germ-line stem cell population maintenance
25,0.001942953,Notch signaling pathway
304,0.001942953,mRNA 3'-UTR binding
186,0.001942953,embryonic heart tube development
266,0.001942953,imaginal disc-derived wing margin morphogenesis
458,0.001942953,positive regulation of smoothened signaling pathway
445,0.001915967,positive regulation of cell growth
250,0.001888982,histoblast morphogenesis
154,0.001888982,cysteine-type endopeptidase activity
202,0.001888982,establishment of imaginal disc-derived wing hair orientation
530,0.001861996,response to hypoxia
505,0.001808026,regulation of dendrite morphogenesis
92,0.001808026,cell adhesion involved in heart morphogenesis
372,0.001808026,negative regulation of neuroblast proliferation
216,0.001754055,female germ-line stem cell population maintenance
425,0.001754055,phosphatase activity
444,0.001727069,positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria
387,0.001700084,neuron projection
235,0.001673098,glutathione biosynthetic process
371,0.001673098,negative regulation of lamellocyte differentiation
190,0.001646113,endoplasmic reticulum unfolded protein response
145,0.001646113,cleavage furrow
608,0.001646113,"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"
626,0.001619127,wing disc morphogenesis
468,0.001592142,programmed cell death involved in cell development
593,0.001511185,thermotaxis
215,0.001457215,female germ-line stem cell asymmetric division
280,0.001457215,intracellular protein transport
212,0.001457215,eye pigment biosynthetic process
552,0.001430229,sensory perception of smell
34,0.001430229,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
180,0.001430229,dynein complex
21,0.001403244,MSL complex
75,0.001376258,basal protein localization
28,0.001376258,RNA binding
112,0.001349273,cellular response to oxidative stress
333,0.001349273,midgut development
206,0.001349273,establishment or maintenance of cell polarity
367,0.001349273,negative regulation of growth
62,0.001322287,associative learning
188,0.001322287,endomembrane system
259,0.001322287,homophilic cell adhesion via plasma membrane adhesion molecules
