i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
529,379,300,568,376,605,643,530,416,455
895,1006,2184,925,2141,974,858,1009,970,1007
416,529,339,378,455,530,568,605,3015,643
158,19,79,16,416,195,193,119,455,117
530,872,682,645,604,607,3015,605,568,643
569,872,530,645,604,3015,607,605,568,643
341,605,416,530,455,340,3015,339,378,643
376,300,493,262,341,340,378,416,455,339
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
300,379,302,262,340,341,455,416,378,339
3015,530,645,872,605,643,568,604,911,607
1153,1310,2935,1150,1155,1187,1151,1110,1149,1114
1149,1107,1144,1110,1188,1145,1146,989,1114,950
2745,2776,11,2822,2819,2707,2856,2855,2820,2851
262,416,455,492,493,341,2934,340,339,378
2909,2840,2887,2916,2882,2878,2844,2880,2884,2917
339,340,492,378,1101,530,568,605,643,3015
1483,1482,1938,1521,2167,989,3033,1558,1976,1520
684,874,1026,649,913,914,951,912,988,950
913,2167,989,2242,2166,1026,912,950,951,988
2168,1027,951,952,2206,2204,2243,1026,950,989
569,872,645,604,530,1101,568,605,643,3015
529,604,492,378,530,1101,568,605,643,3015
607,645,872,604,530,1101,605,568,643,3015
377,416,493,262,302,340,339,341,378,2934
2980,161,13,51,16,122,195,614,158,119
162,587,197,614,122,156,195,3011,158,119
604,529,492,378,1101,530,568,605,643,3015
2633,1005,2594,970,1007,2553,2596,2472,2938,950
2206,2167,1027,952,2243,951,2204,1026,950,989
1027,952,951,2243,2206,1146,2168,1026,950,989
2793,2874,2835,2796,2836,2795,2831,2834,2873,2794
1164,1187,1346,1151,2976,1162,1347,1192,1310,1114
988,2168,1027,952,2206,2243,951,1026,950,989
416,455,262,492,493,341,340,339,2934,378
913,648,647,951,649,3025,950,646,912,988
262,455,643,341,493,492,2934,340,339,378
339,340,492,1101,378,530,568,605,643,3015
493,339,340,492,378,530,568,605,3015,643
1064,2243,2242,2166,912,989,1026,951,950,988
529,604,492,378,1101,530,568,605,643,3015
895,858,974,1577,2141,1009,1007,2184,1192,970
529,645,378,604,530,1101,568,605,643,3015
952,1027,2243,1026,914,989,912,988,951,950
1558,2166,3033,950,1026,1938,2167,1976,989,1520
721,949,604,568,835,607,682,797,911,872
858,1009,1161,1165,974,1347,2976,1164,1162,1310
1114,1165,1346,1161,1192,1164,2976,1347,1162,1310
1152,1153,1310,1155,1150,1187,1110,1151,1149,1114
2206,952,1027,914,2243,988,1026,951,989,950
492,493,2934,416,455,341,643,340,339,378
377,493,416,262,302,340,339,341,378,2934
952,1027,2243,912,1026,988,914,951,989,950
160,121,159,122,156,197,614,195,158,119
2934,339,340,492,378,530,568,605,3015,643
262,340,341,378,300,376,379,339,416,455
1149,1145,1107,1188,1151,1110,1146,989,1114,950
529,604,492,378,530,1101,568,605,643,3015
1152,1149,1150,950,1110,1190,1188,1151,1192,1114
651,195,156,687,912,158,612,119,950,649
339,340,492,378,1101,530,568,605,643,3015
1027,2166,914,2243,1026,912,989,988,951,950
587,162,122,197,156,3011,614,195,158,119
1027,2204,2168,1217,2243,1026,1446,2206,950,989
195,119,648,612,646,951,988,649,912,950
31,15,2896,2851,339,34,25,37,35,2902
1066,2216,1144,1114,2206,950,2168,1145,1146,989
2856,2741,2704,2705,2707,2819,2855,2821,2820,2851
339,340,1101,492,378,530,568,605,3015,643
455,569,645,604,607,530,605,568,3015,643
300,262,530,493,341,340,378,339,416,455
872,569,645,607,604,530,605,568,3015,643
612,194,117,158,156,196,195,649,119,193
1187,1076,1153,2935,1150,1149,1155,1110,1151,1114
529,340,492,378,1101,530,568,605,643,3015
2629,2556,2514,2476,2590,2591,2552,2553,988,950
492,339,604,378,1101,530,568,605,3015,643
3033,2242,2166,950,1026,2167,1938,1976,1520,989
911,645,682,872,604,3015,605,607,568,643
2867,2858,2852,2857,2818,2794,2856,2855,2820,2851
1149,1107,1110,1188,1144,1145,989,950,1146,1114
1107,1187,1146,2935,1188,950,1151,1149,1110,1114
952,1027,2243,1026,914,989,912,951,988,950
572,988,610,571,609,532,647,608,646,3025
493,339,340,492,378,530,568,605,3015,643
1151,1145,1107,1144,950,1149,1188,1110,1146,1114
35,37,19,16,25,376,300,379,416,455
1520,912,2167,2242,2166,1026,951,989,950,988
584,619,912,202,479,158,119,3011,587,950
2934,340,492,378,1101,530,568,605,643,3015
16,19,376,300,37,35,379,25,416,455
492,455,416,262,493,340,341,2934,339,378
2204,2167,1520,2242,2166,951,1026,988,950,989
493,340,492,378,1101,530,568,605,643,3015
339,340,492,1101,378,530,568,605,643,3015
1011,1005,1006,895,1008,974,2938,1007,1009,970
529,340,492,378,1101,530,568,605,643,3015
2665,2668,2794,2666,2981,2671,2834,2705,2711,2672
1027,2166,2206,952,2243,2167,2204,1026,950,989
529,340,492,378,1101,530,568,605,643,3015
858,1112,974,1009,1007,1577,2141,2184,970,1192
2934,340,1101,492,378,530,568,605,643,3015
339,340,492,378,1101,530,568,605,643,3015
529,339,340,492,378,530,568,605,3015,643
492,2934,262,493,341,340,455,416,378,339
1521,2242,2166,1938,950,1026,2167,1976,1520,989
51,455,193,13,158,19,195,16,119,117
493,339,340,492,378,530,568,605,3015,643
646,2242,913,989,2166,1026,912,950,951,988
339,340,492,378,1101,530,568,605,643,3015
2206,1027,952,2204,2243,951,988,1026,950,989
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
493,339,340,492,378,530,568,605,3015,643
157,194,117,158,156,196,195,649,119,193
1152,2935,1155,1187,1150,1153,1110,1149,1151,1114
2216,2102,1113,1145,1151,1146,2291,1114,1112,1192
1146,1152,1150,1188,2935,1151,1187,1110,1149,1114
914,952,2433,2243,912,1026,989,951,988,950
1187,1190,1188,1150,1192,1149,950,1110,1151,1114
1521,2242,1559,1482,3033,1483,1406,1558,1976,1520
1152,1153,1188,1150,1151,2935,1187,1110,1149,1114
493,340,492,1101,378,530,568,605,643,3015
1155,1152,1153,1150,2935,1151,1187,1110,1149,1114
1521,1444,1482,3033,1483,1559,1558,1406,1520,1976
925,1006,1011,895,1008,2938,974,1007,1009,970
121,196,79,156,614,158,193,195,119,117
2934,340,492,1101,378,530,568,605,643,3015
493,492,340,339,378,530,568,605,3015,643
1190,1188,2102,2291,1114,1192,914,2168,989,950
1149,1026,1110,1107,1188,1144,1146,1114,989,950
950,1108,1149,1107,1110,1188,1144,1145,1114,1146
377,493,416,262,302,340,339,341,378,2934
974,1007,1155,1110,1151,1164,1162,1310,1114,950
339,340,492,378,1101,530,568,605,643,3015
416,302,262,492,493,340,339,341,2934,378
339,340,492,378,1101,530,568,605,643,3015
2934,340,492,378,1101,530,568,605,643,3015
2167,1976,1520,989,2166,950,951,1026,2242,988
339,1101,340,492,378,530,568,605,3015,643
