,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1,652,1134,1,130,584,585,586,624,2961,3033
2,695,1353,661,1014,656,657,660,693,624,2961
3,1365,1402,1062,1367,2050,2086,2124,1026,1063,1134
4,61,77,117,138,153,154,156,191,192,230
5,1133,1210,988,1740,1398,1057,1134,1063,1329,1248
6,1025,1026,1062,1063,1402,2086,2124,2692,2728,2767
7,1062,530,1248,1026,531,1063,568,3016,569,570
8,144,75,109,149,76,108,110,112,152,2933
9,2016,1293,1522,1939,1978,951,1447,2207,989,2244
10,44,81,61,75,113,152,2933,2976,5,156
11,1781,1134,1434,2011,2048,585,1026,2124,1063,2086
12,1088,745,2941,1724,1083,1720,1681,1087,1683,2952
13,1080,1385,1076,1566,1078,1146,1959,1075,1335,1114
14,2598,2792,2716,2669,2601,2751,2712,2801,2986,653
15,75,378,2935,341,110,152,2933,342,380,379
16,71,75,108,152,114,76,112,110,2933,72
17,1365,2050,2956,1669,1367,1785,1633,1748,1709,1708
18,1031,1032,1260,877,1411,1262,913,1991,1256,951
19,3017,201,551,479,444,443,589,586,876,685
20,875,876,877,878,914,951,2472,2473,2624,3026
21,1035,1032,1528,1954,1075,1072,1992,1566,1991,1114
22,1708,2088,1628,1062,1630,1748,1671,2048,1631,1709
23,1708,1709,1748,1786,2011,2048,2050,2088,2124,2127
24,1634,1558,1025,1630,1024,988,949,1062,1063,1628
25,38,24,71,152,76,75,114,2933,72,110
26,61,93,130,137,153,154,156,158,192,2973
27,467,479,505,506,507,542,544,588,3012,3032
28,2088,949,1062,2048,341,1631,2050,1671,1709,1708
29,2668,2557,2751,2560,2603,2519,2598,2485,2600,2601
30,782,2450,1073,1992,1031,1032,1954,1035,1991,2064
31,2025,1984,2149,704,783,2064,706,2941,745,782
32,2667,2669,2666,2911,2668,2817,2818,2706,2751,2792
33,1621,1652,1655,1656,1661,1770,1919,1963,2375,3000
34,1953,748,1114,1916,1992,2941,1954,1991,745,782
35,455,376,339,377,341,378,380,2935,342,379
36,723,761,762,763,800,840,2472,2706,3026,3032
37,455,569,644,530,378,646,380,342,379,3016
38,1748,2013,1671,2052,949,2956,2050,1709,1633,1708
39,2956,1671,1633,912,2013,3016,1709,380,2050,1708
40,2471,2509,2589,2942,2627,2472,2624,2629,2585,2586
41,912,2050,2011,2127,2124,1708,1709,1671,1786,2767
42,1305,1336,1345,1360,1398,1628,1661,1702,1740,3004
43,1746,1671,1631,2050,2088,1748,2048,1633,1708,1709
44,761,2434,685,762,878,2435,2472,876,2471,2473
45,1222,1260,1027,1293,2281,1978,1928,1294,1256,951
46,1308,1668,2008,949,1077,1740,988,1305,1667,1628
47,1123,1159,1160,673,1083,1087,1120,1124,1158,1162
48,1158,1159,1160,1196,1305,1345,1384,1496,1653,1655
49,1120,1724,1126,1158,1683,1718,1087,1720,1083,2952
50,814,746,748,744,709,785,824,2941,782,745
51,2809,76,75,2844,379,152,110,112,108,2933
52,109,24,71,152,76,75,114,72,110,2933
53,746,783,785,824,709,744,745,782,822,2941
54,404,407,479,506,539,542,544,579,580,2958
55,2052,1671,1973,2050,2956,644,3016,1633,1709,1708
56,110,5,43,61,72,81,108,156,158,2933
57,748,1993,709,824,706,745,782,783,822,2941
58,2089,1671,1708,1709,1786,2011,2048,2088,2124,2127
59,1116,1121,1158,1192,1655,1696,1697,1963,2941,2952
60,806,840,2958,2987,2995,3009,3012,3017,3031,3032
61,2013,2048,2050,2124,1671,1708,1709,1786,2088,2127
62,685,762,877,878,2435,876,2471,2472,2473,2510
63,539,542,544,579,588,616,2958,3012,3017,3032
64,1294,1964,2097,1265,951,1411,1693,1256,1978,2133
65,515,517,518,539,542,579,616,671,3017,3032
66,2703,112,379,75,2844,2933,72,110,114,152
67,2118,2036,1737,3005,1992,2945,1687,1991,1726,1954
68,2589,2552,2669,2561,2792,2600,2984,2629,2668,2601
69,1365,1633,912,1708,1669,1709,1026,1248,2050,1367
70,2731,2732,2733,2734,2736,2767,2768,2770,2772,2950
71,569,570,156,455,147,149,411,532,5,144
72,1025,2086,1134,1329,1367,2767,1062,1402,1026,1063
73,126,168,3032,238,239,174,365,165,204,401
74,1243,1205,1203,1278,1681,1240,1241,1242,1391,2967
75,1252,1367,1633,1785,1937,1972,1974,2014,2050,2943
76,2626,2627,2629,2642,2667,2668,2669,2709,2792,2984
77,1062,1292,1329,1330,1366,1367,2690,2691,2692,2767
78,1031,1262,1222,1991,1992,1260,1032,1726,1035,1954
79,1026,645,1628,1025,720,988,1062,1329,719,1063
80,2589,2752,2706,2631,2751,2629,2984,2669,2668,2792
81,1916,1991,1112,2036,1954,2936,1078,1687,1114,1726
82,1110,1083,1681,1087,1077,1080,1112,1385,1078,1114
83,709,2561,1991,482,2715,748,2366,2754,703,824
84,420,384,386,84,348,126,349,125,87,88
85,2943,1251,1026,1248,1214,1633,910,1367,2050,1252
86,1991,1075,2936,1071,1112,1687,1385,1078,1726,1114
87,44,61,117,138,153,154,156,191,192,230
88,2473,878,915,1027,686,2433,913,951,2472,2510
89,400,818,2995,673,2941,364,329,324,365,363
90,2050,1026,1633,1785,2956,1669,1748,1367,1708,1709
91,44,61,130,138,153,154,156,192,230,2973
92,75,378,380,342,341,2935,152,379,2933,110
93,913,2471,839,762,951,2433,2473,878,2510,2472
94,1633,380,1254,2943,2050,1248,1214,1251,1367,1252
95,2013,2956,948,380,1633,1367,1669,2050,1709,1708
96,664,1013,673,745,785,788,824,1655,2941,782
97,1214,1974,910,2943,1254,1251,2050,1252,1367,380
98,2591,2706,2598,2600,2601,2629,2667,2668,2669,2792
99,1566,1693,2064,2450,1073,1031,1032,1991,1035,1954
100,1026,1214,910,1254,2943,1251,2050,1252,380,1367
101,1130,1440,1779,1739,2170,1058,1059,1434,1077,2562
102,1555,1748,1633,1669,2956,1214,1365,1709,1367,1708
103,1974,1367,2013,1026,912,1669,1708,1709,380,2050
104,2050,644,1026,1975,1558,1557,948,2013,3016,380
105,149,75,144,109,76,108,110,112,152,2933
106,1262,1031,1027,1260,1991,1222,1032,1256,1035,951
107,137,138,153,154,156,157,191,192,230,2973
108,1708,1557,2050,1975,569,948,2013,644,380,3016
109,837,875,876,877,878,914,2472,2473,2510,2624
110,1786,1671,1633,1669,380,341,912,1708,1709,2050
111,2366,1073,2450,1991,1075,1072,1114,1032,1035,1566
112,1939,2547,2243,1483,1559,1521,2244,989,1597,1635
113,1632,569,2013,2050,948,644,380,1709,1708,3016
114,206,238,239,364,365,367,400,404,3012,3032
115,1129,1718,1166,1124,2977,1130,1167,1720,1168,1163
116,2369,1396,1776,1739,653,2210,2601,3039,2600,1738
117,1126,1125,1085,1720,324,1681,1083,1683,1087,1124
118,2598,2589,2552,2667,2669,2561,2600,2629,2601,2668
119,1338,1683,673,1120,2952,1085,1083,1077,1087,1720
120,2550,2513,2549,2433,2585,2471,989,2472,2547,2510
121,1125,1049,1085,1126,287,1083,1087,1683,1124,1681
122,1936,2013,2956,1974,2050,948,1709,1367,1708,380
123,1158,2977,2952,1087,1083,1681,1163,1683,1718,1720
124,2243,2282,2931,989,1447,1522,1939,1978,2207,2244
125,2485,2939,2562,1372,2518,1077,2481,2598,2601,673
126,117,130,138,153,154,156,157,191,192,230
127,1748,2050,2013,1669,1633,948,2956,1367,1709,1708
128,948,644,1708,1026,1062,912,3016,341,379,380
129,1336,1372,1340,1343,1655,782,1038,1077,1661,2217
130,2530,1051,1300,673,1146,1077,1075,1078,1335,1114
131,1112,1954,1071,1687,2936,2036,1075,1991,1114,1726
132,71,112,109,114,76,72,75,110,152,2933
133,1049,1120,1085,818,710,1123,1124,673,1083,1087
134,2124,1026,1786,912,2767,341,1671,1709,2050,1708
135,376,418,377,456,378,341,342,380,2935,379
136,948,1748,1671,1669,2013,2956,2050,1633,1709,1708
137,1367,1785,948,2013,380,1633,1748,2050,1708,1709
138,2629,2472,2626,2942,2547,2623,2509,2589,2585,2586
139,912,3016,380,2956,2013,1671,1633,1709,2050,1708
140,1080,2037,1992,1075,1999,1995,1078,1991,1959,1114
141,1367,1671,986,1709,949,1063,1248,1708,1026,1062
142,1162,1163,2952,1125,1683,1720,1123,1083,1087,1124
143,479,779,514,1114,824,2941,712,709,710,673
144,818,1049,711,712,745,782,673,709,710,2941
145,2088,2956,1671,2013,1748,2011,1633,2050,1708,1709
146,568,530,569,646,949,532,948,380,570,3016
147,1724,1963,782,1013,1109,1120,1158,1650,1655,2952
148,2712,2559,2560,2986,2562,2598,655,2600,2601,653
149,1087,1163,1077,1718,1085,1120,2977,1158,1720,1083
150,1026,2767,1062,912,2050,2124,1786,1671,1708,1709
151,109,114,112,108,72,75,76,110,152,2933
152,1633,341,2956,1671,948,2013,1709,1708,2050,380
153,2728,1558,988,912,836,1062,380,1026,1063,2767
154,1077,1075,1110,710,1112,709,2936,1726,673,1078
155,1718,1085,1158,1125,2977,1087,1720,1083,1124,1163
156,2088,1633,2124,912,2011,1786,1671,2050,1708,1709
157,1026,1975,1557,1558,948,1709,2050,1708,2013,380
158,912,3016,2011,2956,2013,1671,1633,2050,1709,1708
159,1671,1975,2956,1748,1633,2013,380,2050,1708,1709
160,2406,367,519,555,637,673,1015,1083,1077,3004
161,1974,2989,2956,1748,1367,1975,2013,380,1708,1709
162,1086,1126,1087,1083,1123,1167,1125,1124,1163,1168
163,988,874,341,1671,1062,1708,3016,912,380,1026
