,0,1,2,3,4,5,6,7,8,9
1,900,903,900,903,903,903,900,900,900,903
2,974,974,1012,974,974,974,974,974,974,974
3,1477,1477,1516,1554,1477,1516,1477,1516,1516,1477
4,88,89,89,89,88,88,88,88,88,89
5,1323,1361,1323,1399,1361,1361,1361,1323,1361,1361
6,1543,1504,1542,1582,1504,1543,1504,1542,1543,1543
7,1289,1289,1289,1327,1289,1289,1289,1289,1289,1289
8,869,869,869,869,869,869,869,869,869,869
9,1484,1446,1484,1446,1484,1446,1484,1484,1446,1484
10,69,69,69,69,69,69,69,69,69,69
11,1353,1355,1355,1353,1353,1355,1353,1355,1353,1353
12,1126,1126,1127,1126,1127,1127,1126,1126,1127,1127
13,1346,1347,1346,1347,1346,1347,1347,1308,1347,1347
14,1847,1846,1846,1847,1847,1846,1847,1846,1846,1847
15,263,263,302,263,263,302,302,263,263,263
16,2867,2869,2867,2869,2869,2867,2867,2869,2869,2867
17,1253,1253,1215,1253,1253,1253,1253,1253,1215,1253
18,1376,1338,1376,1376,1376,1376,1376,1338,1376,1376
19,1153,1191,1191,1191,1153,1153,1191,1153,1191,1191
20,1181,1143,1181,1143,1143,1143,1181,1143,1143,1181
21,1305,1304,1305,1305,1342,1305,1342,1342,1304,1342
22,1252,1290,1252,1290,1290,1290,1252,1290,1252,1290
23,1291,1253,1253,1291,1253,1291,1291,1253,1291,1291
24,1249,1249,1249,1249,1287,1249,1287,1249,1287,1249
25,73,73,73,73,73,73,73,73,73,73
26,134,134,134,134,134,134,134,134,134,134
27,290,290,290,290,290,290,290,290,290,290
28,1252,1253,1252,1252,1253,1252,1253,1252,1253,1253
29,1990,1990,2028,1990,1990,1990,1990,1990,1990,1990
30,1343,1343,1343,1343,1343,1381,1343,1343,1343,1343
31,1193,1231,1231,1231,1231,1231,1231,1193,1231,1231
32,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408
33,1242,1242,1242,2967,2967,2967,2967,1280,2967,1242
34,1345,1345,1383,1345,1383,1345,1345,1383,1345,1383
35,340,2935,2935,340,340,340,2935,2935,2935,340
36,463,462,463,463,462,463,463,463,463,462
37,454,455,455,454,455,454,455,455,454,454
38,1215,1253,1253,1215,1253,1253,1253,1253,1215,1253
39,1252,1253,1252,1252,1253,1253,1252,1253,1215,1253
40,2322,2322,2284,2322,2284,2322,2322,2322,2322,2284
41,1252,1253,1252,1253,1253,1253,1253,1252,1253,1253
42,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354
43,1253,1252,1252,1253,1253,1252,1253,1253,1253,1253
44,1262,1262,1262,1300,1262,1262,1300,1262,1300,1262
45,1377,1339,1377,1377,1377,1377,1377,1377,1339,1377
46,1284,1284,1246,1284,1284,1284,1284,1284,1246,1284
47,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013
48,1280,2967,2967,1280,2967,1280,1280,1280,2967,1280
49,1279,1279,1241,1279,1279,1279,1279,1241,1279,1279
50,1308,1308,1308,1308,1308,1308,1308,1270,1308,1308
51,758,758,720,720,758,758,758,720,720,796
52,34,73,34,34,73,34,34,73,34,34
53,1274,1236,1197,1237,1274,1236,1236,1274,1274,1236
54,473,473,473,473,473,474,473,473,473,473
55,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215
56,216,179,216,217,179,216,216,179,216,179
57,1233,1271,1271,1271,1271,1271,1271,1271,1271,1271
58,1253,1215,1215,1252,1215,1215,1253,1215,1252,1253
59,1350,1311,1273,1350,1311,1273,1273,1350,1350,1350
60,402,402,402,402,363,402,363,402,402,402
61,2996,2996,2996,2956,2996,2996,2996,2996,2956,2996
62,1222,1260,1223,1261,1223,1223,1260,1222,1260,1260
63,288,288,288,288,288,288,288,288,288,288
64,1305,1267,1306,1344,1305,1305,1306,1267,1305,1305
65,508,508,508,508,508,508,508,508,508,508
66,674,637,634,674,637,674,674,634,637,634
67,1532,1532,1570,1532,1532,1532,1532,1532,1532,1532
68,1910,1872,1910,1873,1872,1910,1910,1910,1910,1872
69,1253,1253,1215,1253,1253,1253,1253,1215,1253,1253
70,1893,1893,1892,1893,1892,1893,1892,1893,1893,1893
71,677,716,677,716,677,716,716,677,677,716
72,1323,1361,1361,1399,1361,1361,1323,1361,1361,1361
73,321,321,360,321,360,321,321,321,321,321
74,1013,1012,1012,1013,1013,1012,1012,1013,1012,1013
75,1404,1366,1404,1404,1404,1404,1404,1404,1404,1366
76,1948,1948,1948,1948,1948,1948,1948,1948,1948,1911
77,1555,1555,1555,2989,1555,1555,2989,1555,2989,1555
78,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455
79,1283,1321,1283,1321,1321,1321,1283,1283,1321,1321
80,2216,2216,2179,2179,2216,2216,2216,2216,2179,2216
81,1307,1307,1307,1306,1307,1344,1307,1307,1307,1306
82,1313,1312,1312,1312,1312,1313,1274,1312,1312,1312
83,1458,1458,1496,1458,1458,1458,1458,1458,1458,1458
84,386,386,386,386,386,386,386,386,386,386
85,1366,1328,1328,1366,1366,1366,1328,1366,1328,1366
86,1309,1348,1309,1309,1348,1348,1348,1309,1348,1348
87,3012,3012,3012,3012,3012,3012,3012,3012,3012,3012
88,1376,1414,1414,1414,1414,1414,1376,1414,1414,1414
89,668,668,668,668,668,668,668,668,668,668
90,1215,1253,1253,1253,1253,1253,1253,1215,1215,1253
91,89,89,89,89,89,89,89,89,89,89
92,189,187,226,189,189,187,187,189,226,189
93,1411,1411,1411,1488,1411,1411,1411,1411,1411,1411
94,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328
95,1215,1253,1215,1253,1253,1253,1253,1215,1215,1253
96,1277,1276,1277,1277,1277,1277,1277,1276,1277,1277
97,1290,1328,1290,1328,1328,1328,1328,1290,1290,1328
98,2215,2215,2254,2254,2215,2215,2215,2254,2215,2215
99,1342,1342,1342,2949,1342,1342,1342,1342,1342,1342
100,1328,1290,1328,1290,1291,1328,1328,1290,1290,1328
101,1394,1317,1355,1355,1355,1317,1355,1355,1355,1355
102,1253,1253,1215,1253,1253,1253,1253,1253,1215,1253
103,1253,1215,1253,1253,1253,1253,1253,1215,1215,1253
104,1252,1214,1252,1252,1252,1252,1252,1214,1252,1252
105,983,983,983,983,945,983,983,983,983,983
106,1339,1377,1377,1377,1377,1339,1377,1339,1377,1377
107,129,129,129,129,128,128,128,128,128,129
108,1214,1215,1252,1215,1252,1252,1215,1214,1252,1253
109,1258,1296,1258,1296,1257,1258,1258,1296,1257,1296
110,1253,1215,1253,1253,1253,1253,1253,1253,1215,1253
111,1344,1306,1344,1344,1344,1344,1344,1344,1306,1344
112,3034,3034,3034,3034,3034,3034,3034,1484,3034,3034
113,1253,1215,1215,1215,1252,1253,1215,1253,1215,1253
114,207,207,207,207,207,207,207,207,207,207
115,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163
116,1347,1309,1347,1386,1347,1347,1309,1347,1347,1347
117,1314,1315,1314,1315,1315,1315,1315,1314,1315,1315
118,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015
119,1316,1354,1354,1354,1354,1354,1354,1354,1316,1354
120,1826,1826,1826,1826,1826,1826,1826,1826,1826,1788
121,1314,1314,1275,1314,1314,1314,1276,1314,1314,1314
122,1253,1252,1215,1252,1253,1253,1253,1252,1215,1253
123,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240
124,1484,1484,1484,1484,3034,1484,1484,1484,1484,1484
125,1429,1428,1429,1429,1429,1429,1429,1428,1429,1429
126,129,129,129,129,129,129,129,129,129,129
127,1253,1215,1253,1215,1253,1253,1215,1253,1215,1253
128,1215,3014,1215,1215,3014,3014,1214,1215,1215,1215
129,1312,1274,1312,1274,1274,1312,1312,1274,1312,1312
130,1345,1307,1384,1345,1383,1384,1345,1345,1307,1345
131,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
132,72,73,72,73,72,73,72,73,73,72
133,1315,1277,1277,1316,1316,1277,1277,1277,1277,1316
134,1252,1253,1253,1253,1253,1253,1253,1253,1252,1253
135,340,340,340,340,340,340,340,340,340,340
136,1253,1215,1253,1253,1253,1253,1253,1253,1215,1253
137,1253,1252,1215,1253,1253,1253,1252,1253,1215,1253
138,2245,2245,2207,2245,2207,2245,2245,2245,2207,2245
139,1253,1215,1253,1253,1253,1253,1253,1253,1215,1253
140,1348,1386,1386,1386,1386,1386,1386,1309,1386,1386
141,1290,1252,1252,1252,1252,1252,1252,1252,1252,1252
142,1089,1088,1089,1089,1089,1088,1088,1089,1089,1089
143,1269,1269,1269,1269,1269,1231,1269,1269,1269,1269
144,859,898,898,898,898,859,898,898,898,898
145,1253,1252,1253,1253,1253,1253,1252,1253,1215,1253
146,1100,1139,1100,1101,1100,1139,1100,1101,1139,1100
147,1277,1315,1277,1277,1277,1315,1277,1277,1315,1277
148,1425,1387,1425,1425,1425,1425,1387,1425,1425,1425
149,2977,1127,2977,1127,1127,2977,1127,2977,1127,2977
150,1253,1253,1253,1253,1253,1252,1253,1253,1253,1253
151,73,72,73,72,73,72,72,73,73,72
152,1215,1253,1252,1253,1252,1253,1252,1215,1253,1253
153,1328,1290,1290,1328,1328,1328,1328,1290,1290,1328
154,1346,1346,1347,1346,1347,1346,1347,1346,1347,1347
155,1127,1127,1127,1127,2977,2977,1127,1127,2977,1127
156,1253,1253,1215,1253,1253,1253,1253,1215,1253,1253
157,1252,1253,1252,1253,1252,1253,1252,1253,1252,1253
158,1215,1253,1215,1253,1253,1253,1253,1253,1215,1253
159,1252,1253,1252,1252,1253,1253,1252,1253,1252,1253
160,786,786,786,786,786,786,786,786,786,786
161,1253,1252,1252,1253,1253,1253,1253,1253,1252,1253
162,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089
163,1253,1252,1253,1253,1253,1253,1253,1252,1253,1253
164,1215,1253,1215,1253,1253,1253,1215,1253,1215,1253
